pages,width,HR,RBI
83,6,11,32
85,6,11,47
203,15,11,37
221,19,11,66
229,19,11,49
246,12,11,59
246,22,11,64
285,11,11,45
297,17,11,76
301,21,11,48
304,21,11,32
308,18,11,53
317,12,11,50
333,16,12,42
356,12,12,35
363,22,12,84
368,14,12,46
409,27,12,48
454,23,12,51
468,18,12,28
488,32,12,37
568,34,12,36
636,27,12,48
765,30,12,47
982,42,12,55
,,12,24
,,12,47
,,12,38
,,12,31
,,12,31
,,13,48
,,13,55
,,13,51
,,13,37
,,13,42
,,13,50
,,13,89
,,13,44
,,13,57
,,13,56
,,13,35
,,13,32
,,13,40
,,13,40
,,14,59
,,14,86
,,14,68
,,14,59
,,14,65
,,14,56
,,14,39
,,14,51
,,14,49
,,14,43
,,14,43
,,14,42
,,14,80
,,14,53
,,14,34
,,14,52
,,14,56
,,15,51
,,15,49
,,15,78
,,15,44
,,15,47
,,15,74
,,15,54
,,15,71
,,15,44
,,15,46
,,16,54
,,16,50
,,16,69
,,16,53
,,16,49
,,16,54
,,16,71
,,16,63
,,16,45
,,17,82
,,17,65
,,17,40
,,17,63
,,17,49
,,17,51
,,17,66
,,18,75
,,18,58
,,18,90
,,18,56
,,18,76
,,19,63
,,20,96
,,20,52
,,20,67
,,20,70
,,20,62
,,20,58
,,20,74
,,20,64
,,20,58
,,20,85
,,20,42
,,20,51
,,20,64
,,21,89
,,21,68
,,21,70
,,21,47
,,21,62
,,21,95
,,21,70
,,21,69
,,21,98
,,22,49
,,22,69
,,22,64
,,22,86
,,22,68
,,22,60
,,22,64
,,22,85
,,22,86
,,22,80
,,23,62
,,23,69
,,23,82
,,23,76
,,23,55
,,24,96
,,24,70
,,24,72
,,24,95
,,24,68
,,24,86
,,24,79
,,24,57
,,24,79
,,25,100
,,25,80
,,25,88
,,25,100
,,25,104
,,25,59
,,25,104
,,25,68
,,25,66
,,25,82
,,26,87
,,26,72
,,27,72
,,27,86
,,27,75
,,27,74
,,27,72
,,27,90
,,28,83
,,28,67
,,28,94
,,29,82
,,29,83
,,29,91
,,29,82
,,29,100
,,29,97
,,30,91
,,30,59
,,30,59
,,30,81
,,30,93
,,30,111
,,30,99
,,31,113
,,31,86
,,31,119
,,31,83
,,31,87
,,32,104
,,32,72
,,32,109
,,33,103
,,33,88
,,34,91
,,34,101
,,34,87
,,36,98
,,37,99
,,37,96
,,38,108
,,38,84
,,38,127
,,39,102
,,39,103
,,40,98
,,41,133
,,41,94
,,42,102
,,42,99
,,42,127
,,43,105
,,47,108
